Temperature,Humidity,SquareFootage,Occupancy,HVACUsage,LightingUsage,DayOfWeek,Holiday,Hour,Day,Month,WeekendLabel,TimePeriodLabel
-0.46,0.07,0.0,-2.0,-1.0,0.0,0.5,0.0,-0.92,-1.0,-0.83,1.0,0.33
-0.73,-0.22,1.67,-1.0,-1.0,1.0,0.5,0.0,-0.83,-1.0,-0.83,1.0,0.33
-0.62,0.0,-0.5,-1.0,0.0,0.0,0.5,0.0,-0.75,-1.0,-0.83,1.0,0.33
-0.49,0.62,-0.83,-1.0,0.0,0.0,0.5,0.0,-0.67,-1.0,-0.83,1.0,0.33
-1.07,1.15,0.5,-2.0,0.0,1.0,0.5,0.0,-0.58,-1.0,-0.83,1.0,0.33
-1.15,0.65,0.0,0.0,-1.0,0.0,0.5,0.0,-0.5,-1.0,-0.83,1.0,-0.67
-0.72,0.22,0.83,0.0,-1.0,0.0,0.5,0.0,-0.42,-1.0,-0.83,1.0,-0.67
-0.98,1.29,-1.17,-2.0,-1.0,0.0,0.5,0.0,-0.33,-1.0,-0.83,1.0,-0.67
-1.33,0.04,0.83,-2.0,0.0,0.0,0.5,0.0,-0.25,-1.0,-0.83,1.0,-0.67
-1.04,0.97,-0.5,-1.0,0.0,0.0,0.5,0.0,-0.17,-1.0,-0.83,1.0,-0.67
-1.28,0.05,0.5,-2.0,0.0,0.0,0.5,0.0,-0.08,-1.0,-0.83,1.0,-0.67
-1.21,0.56,-1.17,-2.0,0.0,0.0,0.5,0.0,0.0,-1.0,-0.83,1.0,-0.67
-0.94,0.11,0.0,-2.0,0.0,1.0,0.5,0.0,0.08,-1.0,-0.83,1.0,-0.33
-1.42,0.25,0.5,-2.0,-1.0,0.0,0.5,0.0,0.17,-1.0,-0.83,1.0,-0.33
-1.27,-0.02,-0.5,-1.0,0.0,0.0,0.5,0.0,0.25,-1.0,-0.83,1.0,-0.33
-0.85,1.15,-0.83,-1.0,0.0,0.0,0.5,0.0,0.33,-1.0,-0.83,1.0,-0.33
-0.87,-0.36,0.0,-2.0,0.0,1.0,0.5,0.0,0.42,-1.0,-0.83,1.0,-0.33
-0.43,-0.45,0.83,-2.0,-1.0,0.0,0.5,0.0,0.5,-1.0,-0.83,1.0,0.0
-0.69,1.69,-0.5,0.0,-1.0,0.0,0.5,0.0,0.58,-1.0,-0.83,1.0,0.0
-0.79,0.87,-0.5,0.0,-1.0,1.0,0.5,0.0,0.67,-1.0,-0.83,1.0,0.0
0.0,-1.74,-0.5,-2.0,-1.0,1.0,0.5,0.0,0.75,-1.0,-0.83,1.0,0.0
-0.47,-0.32,1.67,0.0,-1.0,0.0,0.5,0.0,0.83,-1.0,-0.83,1.0,0.33
-0.43,-1.24,-0.5,0.0,-1.0,1.0,0.5,0.0,0.92,-1.0,-0.83,1.0,0.33
-0.9,-0.51,-1.17,-1.0,-1.0,1.0,0.5,0.0,1.0,-1.0,-0.83,1.0,0.33
-0.74,-2.14,0.5,-1.0,0.0,1.0,0.75,0.0,-0.92,-0.93,-0.83,1.0,0.33
-0.66,0.03,0.5,-1.0,0.0,1.0,0.75,0.0,-0.83,-0.93,-0.83,1.0,0.33
-1.11,-0.61,-0.83,0.0,-1.0,1.0,0.75,0.0,-0.75,-0.93,-0.83,1.0,0.33
-0.8,0.21,2.5,-2.0,0.0,1.0,0.75,0.0,-0.67,-0.93,-0.83,1.0,0.33
-1.16,-0.95,0.0,-1.0,-1.0,0.0,0.75,0.0,-0.58,-0.93,-0.83,1.0,0.33
-1.16,0.3,0.0,0.0,-1.0,1.0,0.75,0.0,-0.5,-0.93,-0.83,1.0,-0.67
-1.31,-0.04,-0.5,-2.0,-1.0,1.0,0.75,0.0,-0.42,-0.93,-0.83,1.0,-0.67
-0.69,1.24,0.83,-1.0,-1.0,0.0,0.75,0.0,-0.33,-0.93,-0.83,1.0,-0.67
-1.21,1.28,-0.83,0.0,0.0,0.0,0.75,0.0,-0.25,-0.93,-0.83,1.0,-0.67
-1.45,0.87,-0.5,-1.0,0.0,0.0,0.75,0.0,-0.17,-0.93,-0.83,1.0,-0.67
-0.93,-0.05,-0.83,0.0,0.0,1.0,0.75,1.0,-0.08,-0.93,-0.83,1.0,-0.67
-1.42,1.74,0.5,-1.0,-1.0,0.0,0.75,0.0,0.0,-0.93,-0.83,1.0,-0.67
-0.95,-0.94,0.0,0.0,0.0,0.0,0.75,1.0,0.08,-0.93,-0.83,1.0,-0.33
-1.43,-0.74,0.0,-2.0,-1.0,0.0,0.75,0.0,0.17,-0.93,-0.83,1.0,-0.33
-1.16,0.17,-0.83,-1.0,-1.0,0.0,0.75,1.0,0.25,-0.93,-0.83,1.0,-0.33
-0.64,1.78,0.5,-1.0,-1.0,0.0,0.75,0.0,0.33,-0.93,-0.83,1.0,-0.33
-0.4,-0.07,0.5,0.0,-1.0,1.0,0.75,0.0,0.42,-0.93,-0.83,1.0,-0.33
-0.47,-0.04,-0.5,-2.0,-1.0,0.0,0.75,0.0,0.5,-0.93,-0.83,1.0,0.0
-0.48,-0.96,0.83,-2.0,-1.0,1.0,0.75,0.0,0.58,-0.93,-0.83,1.0,0.0
-0.49,0.79,-0.5,-1.0,-1.0,1.0,0.75,0.0,0.67,-0.93,-0.83,1.0,0.0
-0.79,0.86,0.5,0.0,-1.0,1.0,0.75,0.0,0.75,-0.93,-0.83,1.0,0.0
-0.6,0.7,-1.17,-1.0,-1.0,1.0,0.75,0.0,0.83,-0.93,-0.83,1.0,0.33
-0.57,-0.34,0.0,0.0,-1.0,1.0,0.75,0.0,0.92,-0.93,-0.83,1.0,0.33
-0.23,-0.47,2.5,-2.0,0.0,1.0,0.75,0.0,1.0,-0.93,-0.83,1.0,0.33
-0.5,-0.84,2.5,-1.0,0.0,1.0,-0.75,0.0,-0.92,-0.87,-0.83,0.0,0.33
-1.17,0.3,-0.5,0.0,-1.0,1.0,-0.75,0.0,-0.83,-0.87,-0.83,0.0,0.33
-0.71,-0.65,-0.5,-2.0,-1.0,1.0,-0.75,0.0,-0.75,-0.87,-0.83,0.0,0.33
-1.01,-0.66,-1.17,0.0,-1.0,1.0,-0.75,0.0,-0.67,-0.87,-0.83,0.0,0.33
-1.18,-0.07,0.83,-1.0,-1.0,1.0,-0.75,0.0,-0.58,-0.87,-0.83,0.0,0.33
-0.92,-0.17,0.0,0.0,0.0,1.0,-0.75,0.0,-0.5,-0.87,-0.83,0.0,-0.67
-0.87,-0.22,-0.5,-1.0,0.0,1.0,-0.75,0.0,-0.42,-0.87,-0.83,0.0,-0.67
-0.94,0.53,-0.83,-2.0,-1.0,0.0,-0.75,1.0,-0.33,-0.87,-0.83,0.0,-0.67
-1.43,0.35,1.67,0.0,-1.0,1.0,-0.75,0.0,-0.25,-0.87,-0.83,0.0,-0.67
-1.27,0.05,0.0,0.0,-1.0,0.0,-0.75,0.0,-0.17,-0.87,-0.83,0.0,-0.67
-1.06,0.35,-0.5,2.0,0.0,1.0,-0.75,0.0,-0.08,-0.87,-0.83,0.0,-0.67
-0.82,-0.56,-0.5,5.0,0.0,0.0,-0.75,0.0,0.0,-0.87,-0.83,0.0,-0.67
-1.13,0.31,-0.5,6.0,-1.0,0.0,-0.75,0.0,0.08,-0.87,-0.83,0.0,-0.33
-0.95,0.3,0.0,6.0,0.0,0.0,-0.75,0.0,0.17,-0.87,-0.83,0.0,-0.33
-1.1,-0.88,1.67,6.0,0.0,0.0,-0.75,0.0,0.25,-0.87,-0.83,0.0,-0.33
-1.02,0.93,0.83,4.0,0.0,0.0,-0.75,0.0,0.33,-0.87,-0.83,0.0,-0.33
-0.38,-0.57,0.0,3.0,0.0,1.0,-0.75,0.0,0.42,-0.87,-0.83,0.0,-0.33
-0.15,0.1,0.83,1.0,0.0,1.0,-0.75,0.0,0.5,-0.87,-0.83,0.0,0.0
-0.47,0.95,-0.5,0.0,0.0,1.0,-0.75,0.0,0.58,-0.87,-0.83,0.0,0.0
-0.14,0.7,-0.5,0.0,-1.0,1.0,-0.75,0.0,0.67,-0.87,-0.83,0.0,0.0
-0.3,0.08,2.5,-1.0,-1.0,1.0,-0.75,0.0,0.75,-0.87,-0.83,0.0,0.0
-0.58,-0.15,-0.5,-2.0,-1.0,0.0,-0.75,0.0,0.83,-0.87,-0.83,0.0,0.33
-0.35,0.76,-0.5,-2.0,-1.0,1.0,-0.75,0.0,0.92,-0.87,-0.83,0.0,0.33
-0.1,0.51,2.5,-2.0,-1.0,1.0,-0.75,1.0,1.0,-0.87,-0.83,0.0,0.33
-0.61,-0.33,-0.83,-1.0,-1.0,1.0,-0.5,0.0,-0.92,-0.8,-0.83,0.0,0.33
-0.27,-0.53,0.5,-1.0,-1.0,1.0,-0.5,0.0,-0.83,-0.8,-0.83,0.0,0.33
-1.45,-1.22,1.67,-2.0,0.0,1.0,-0.5,0.0,-0.75,-0.8,-0.83,0.0,0.33
-0.68,0.25,0.0,0.0,0.0,1.0,-0.5,0.0,-0.67,-0.8,-0.83,0.0,0.33
-0.98,0.14,-1.17,0.0,0.0,1.0,-0.5,0.0,-0.58,-0.8,-0.83,0.0,0.33
-1.17,1.07,-0.5,-2.0,-1.0,1.0,-0.5,0.0,-0.5,-0.8,-0.83,0.0,-0.67
-1.13,0.49,-0.83,-1.0,-1.0,1.0,-0.5,0.0,-0.42,-0.8,-0.83,0.0,-0.67
-1.45,1.27,-0.5,-1.0,-1.0,0.0,-0.5,0.0,-0.33,-0.8,-0.83,0.0,-0.67
-1.26,-0.25,0.5,-2.0,-1.0,1.0,-0.5,0.0,-0.25,-0.8,-0.83,0.0,-0.67
-1.09,1.05,-0.5,2.0,0.0,0.0,-0.5,0.0,-0.17,-0.8,-0.83,0.0,-0.67
-0.75,-0.23,-0.5,2.0,0.0,1.0,-0.5,0.0,-0.08,-0.8,-0.83,0.0,-0.67
-1.23,0.82,0.0,4.0,-1.0,1.0,-0.5,0.0,0.0,-0.8,-0.83,0.0,-0.67
-1.22,-0.82,0.0,5.0,0.0,0.0,-0.5,0.0,0.08,-0.8,-0.83,0.0,-0.33
-1.04,0.38,0.83,8.0,0.0,1.0,-0.5,0.0,0.17,-0.8,-0.83,0.0,-0.33
-0.55,-1.34,-0.5,5.0,-1.0,0.0,-0.5,0.0,0.25,-0.8,-0.83,0.0,-0.33
-0.61,-0.07,0.83,6.0,0.0,0.0,-0.5,0.0,0.33,-0.8,-0.83,0.0,-0.33
-0.74,0.47,0.0,3.0,0.0,0.0,-0.5,0.0,0.42,-0.8,-0.83,0.0,-0.33
-0.37,-0.31,-0.5,2.0,0.0,0.0,-0.5,0.0,0.5,-0.8,-0.83,0.0,0.0
-0.42,-0.68,-0.5,0.0,-1.0,1.0,-0.5,0.0,0.58,-0.8,-0.83,0.0,0.0
-0.15,0.65,-0.5,-2.0,0.0,1.0,-0.5,0.0,0.67,-0.8,-0.83,0.0,0.0
-0.58,0.04,0.0,-1.0,0.0,1.0,-0.5,0.0,0.75,-0.8,-0.83,0.0,0.0
-0.5,-0.26,-0.83,-2.0,-1.0,1.0,-0.5,0.0,0.83,-0.8,-0.83,0.0,0.33
-0.55,0.14,1.67,0.0,-1.0,1.0,-0.5,0.0,0.92,-0.8,-0.83,0.0,0.33
-0.91,2.11,0.0,0.0,0.0,0.0,-0.5,0.0,1.0,-0.8,-0.83,0.0,0.33
-0.52,0.95,1.67,-2.0,-1.0,1.0,-0.25,0.0,-0.92,-0.73,-0.83,0.0,0.33
-0.62,0.98,-1.17,-1.0,-1.0,0.0,-0.25,0.0,-0.83,-0.73,-0.83,0.0,0.33
-0.8,0.48,-0.5,0.0,0.0,1.0,-0.25,0.0,-0.75,-0.73,-0.83,0.0,0.33
-0.97,0.32,-1.17,0.0,0.0,1.0,-0.25,0.0,-0.67,-0.73,-0.83,0.0,0.33
-1.38,-1.47,-0.5,0.0,-1.0,1.0,-0.25,0.0,-0.58,-0.73,-0.83,0.0,0.33
-1.2,-0.25,0.83,-1.0,-1.0,0.0,-0.25,0.0,-0.5,-0.73,-0.83,0.0,-0.67
-1.24,-0.1,-1.17,-2.0,0.0,1.0,-0.25,0.0,-0.42,-0.73,-0.83,0.0,-0.67
-1.41,-1.09,-0.5,-1.0,0.0,0.0,-0.25,0.0,-0.33,-0.73,-0.83,0.0,-0.67
-1.25,-0.59,-0.83,-1.0,0.0,0.0,-0.25,0.0,-0.25,-0.73,-0.83,0.0,-0.67
-1.08,-1.23,-0.5,2.0,0.0,0.0,-0.25,0.0,-0.17,-0.73,-0.83,0.0,-0.67
-0.64,0.1,0.83,3.0,-1.0,0.0,-0.25,0.0,-0.08,-0.73,-0.83,0.0,-0.67
-1.04,0.81,0.0,6.0,0.0,1.0,-0.25,0.0,0.0,-0.73,-0.83,0.0,-0.67
-0.93,1.0,0.5,6.0,-1.0,0.0,-0.25,0.0,0.08,-0.73,-0.83,0.0,-0.33
-0.92,0.49,-0.5,7.0,-1.0,0.0,-0.25,0.0,0.17,-0.73,-0.83,0.0,-0.33
